claim_id,section,sentence,claim_type,support_type,existing_citations,missing_bib_keys,suggested_citations,artifact_support,status,fix
C0147,Cross-Mind Resource Island,The v0 Resource Island Phase 3 full table initially gave a different pattern from Pricing Arena: neural/MARL minds improved survival and welfare but did not learn successful trade.,method+result,artifact,none,none,none,"outputs/phase3_full/mind_comparison.csv, outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0151,Cross-Mind Resource Island,"PPO and centralized-critic discover the trade channel under pressure, while DQN and fixed independent-DQN remain more conservative and trade much less.",method,none,none,none,"mnih2015, schulman2017, tan1993","outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",needs_citation,"Consider adding \citep{mnih2015}, \citep{schulman2017}, \citep{tan1993}."
C0154,World,"Auction House is a single-item sealed-bid auction world with independent private values, discrete bids, deterministic tie-breaking, first-price and second-price payment rules, and optional reserve prices vickrey1961,myerson1981,milgrom2004.",theory+result,citation+artifact,"vickrey1961, myerson1981, milgrom2004",none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0156,World,"The world reports seller revenue, bidder surplus, total welfare, allocative efficiency, regret, overbidding, underbidding, and distance from benchmark bid functions.",theory+result,none,none,none,"myerson1981, milgrom2004, dutting2019, banchio2022",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0157,Benchmarks,The second-price benchmark is truthful bidding vickrey1961.,theory+result,citation,vickrey1961,none,none,none,supported_citation,No action.
C0158,Benchmarks,"The first-price benchmark is bid shading under symmetric independent private values, with discrete-grid regret checks used where the continuous benchmark is too coarse milgrom2004,dutting2019,banchio2022.",theory+result,citation,"milgrom2004, dutting2019, banchio2022",none,none,none,supported_citation,No action.
C0159,Benchmarks,"Reserve-price variants evaluate the revenue-efficiency tradeoff against the no-reserve benchmark vickrey1961,myerson1981,milgrom2004.",theory+result,citation,"vickrey1961, myerson1981, milgrom2004",none,none,none,supported_citation,No action.
C0160,Validation,The Auction House validation run is economically coherent but not yet final evidence.,theory+result,artifact,none,none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0161,Validation,"Second-price learning moves toward the truthful benchmark, first-price learning shows underbidding and bid shading, and reserve prices increase revenue while changing allocative efficiency.",theory,none,none,none,"vickrey1961, myerson1981, milgrom2004",none,needs_citation,"Consider adding \citep{vickrey1961}, \citep{myerson1981}, \citep{milgrom2004}."
C0162,Validation,Table reftab:auction-validation summarizes the current validation run.,theory+result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0163,Cross-Mind Auction Diagnostics,"The full P.6 auction learner-suite run confirms that the auction world should be read against benchmark deviations, not raw reward alone.",theory+result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0164,Cross-Mind Auction Diagnostics,"In second-price auctions, PPO has the lowest ex-post regret among the tested learning minds (\(0.187\)) and higher allocative efficiency than Q-learning (\(0.762\) versus \(0.734\)).",theory+method+result,none,none,none,"sutton2018, schulman2017, vickrey1961, dutting2019, banchio2022",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0165,Cross-Mind Auction Diagnostics,DQN and fixed independent-DQN earn higher seller revenue but with lower allocative efficiency.,method,none,none,none,"mnih2015, tan1993, myerson1981, milgrom2004",none,needs_citation,"Consider adding \citep{mnih2015}, \citep{tan1993}, \citep{myerson1981}, \citep{milgrom2004}."
C0166,Cross-Mind Auction Diagnostics,"The centralized-critic scaffold performs poorly in this asymmetric bidding setting, with low revenue and high regret.",method,none,none,none,"myerson1981, milgrom2004, dutting2019, banchio2022",none,needs_citation,"Consider adding \citep{myerson1981}, \citep{milgrom2004}, \citep{dutting2019}, \citep{banchio2022}."
C0167,Cross-Mind Auction Diagnostics,First-price auctions show the expected underbidding/shading channel across the non-centralized learners milgrom2004.,theory+result,citation,milgrom2004,none,none,none,supported_citation,No action.
C0168,Cross-Mind Auction Diagnostics,"Q-learning, DQN, PPO, and fixed independent-DQN all underbid frequently, with first-price underbid rates between \(0.716\) and \(0.814\) milgrom2004.",method+result,citation,milgrom2004,none,"sutton2018, mnih2015, schulman2017, tan1993",none,supported_citation,No action.
C0169,Cross-Mind Auction Diagnostics,"This makes Auction House theory-anchored: the economic question is how each learner deviates from truthful second-price bidding or shaded first-price bidding, not whether the environment merely produces positive payoffs vickrey1961,milgrom2004,dutting2019.",theory+result,citation+artifact,"vickrey1961, milgrom2004, dutting2019",none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0170,World,"Public Goods is a repeated common-pool resource environment, following the standard tension between private extraction and shared surplus samuelson1954,hardin1968.",theory+result,citation+artifact,"samuelson1954, hardin1968",none,"olson1965, ostrom1990","outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0174,World,Deterministic regeneration makes the sustainability channel easy to audit.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0176,World,"The main metrics are welfare, sustainability, total contribution, extraction relative to regeneration, inequality, collapse diagnostics, and tax revenue where applicable.",result,none,none,none,"myerson1981, milgrom2004, zheng2020, zheng2021",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0177,Q-Learning Full Run,The n=20 tabular Q-learning full run confirms the intended commons pressure.,theory+method+result,none,none,none,"sutton2018, hardin1968, ostrom1990",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0178,Q-Learning Full Run,"In the baseline, agents mostly extract and contribute little: sustainability is 0.0892 and total contribution is 0.1418.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0179,Q-Learning Full Run,"Contribution matching improves both welfare and sustainability in this setting, reaching welfare 2.0808 and sustainability 0.1048.",result,none,none,none,"fehrgachter2000, isaac1994, ostrom1990",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0180,Q-Learning Full Run,"Reputation is a strong reward-shaping intervention, with welfare 9.5750, while the tax schedule mainly changes redistribution/accounting at the tested rates.",result,none,none,none,"fehrgachter2000, isaac1994, ostrom1990, zheng2020, zheng2021",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0182,Q-Learning Full Run,"This is a diagnostic classification, not yet a final welfare ranking.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0183,Cross-Mind Status,The full Public Goods learner suite shows that stronger function approximation or centralized training does not automatically solve the commons problem.,theory+method,none,none,none,"samuelson1954, olson1965, hardin1968, ostrom1990","outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",needs_citation,"Consider adding \citep{samuelson1954}, \citep{olson1965}, \citep{hardin1968}, \citep{ostrom1990}."
C0184,Cross-Mind Status,"Under no institution, Q-learning reaches welfare \(1.815\), sustainability \(0.089\), and contribution \(0.142\).",method+result,none,none,none,sutton2018,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0185,Cross-Mind Status,DQN and fixed independent-DQN are close but contribute less; PPO and centralized-critic contribute almost nothing and sit near the lower sustainability regime.,method+result,none,none,none,"mnih2015, schulman2017, tan1993",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0187,Cross-Mind Status,"It improves Q-learning sustainability from \(0.089\) to \(0.105\) and fixed independent-DQN sustainability from \(0.085\) to \(0.121\), with a larger increase in contribution for independent-DQN.",method+result,none,none,none,"sutton2018, mnih2015, tan1993",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0188,Cross-Mind Status,It does not rescue PPO in this configuration.,method,none,none,none,schulman2017,none,needs_citation,Consider adding \citep{schulman2017}.
C0192,World,"Each worker reports a top choice, the world constructs reported preferences, and matching is resolved using deferred acceptance galeshapley1962,rothsotomayor1990.",theory+result,citation,"galeshapley1962, rothsotomayor1990",none,none,none,supported_citation,No action.
C0193,World,"The world reports match rate, total welfare, truthful-report rate, stability, blocking-pair diagnostics, and manipulation-gain diagnostics.",theory+result,none,none,none,vickrey1961,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0194,World,"Unlike Pricing Arena, Resource Island, Public Goods, and Auction House, not every economic actor is a learning agent.",theory,none,none,none,"samuelson1954, olson1965","outputs/phase3_full/mind_comparison.csv, outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",needs_citation,"Consider adding \citep{samuelson1954}, \citep{olson1965}."
C0195,World,"That asymmetry is the main interface test for the learning-architecture suite: DQN, PPO, independent-DQN, and centralized-critic operate only over the worker side while employers remain fixed preference holders.",method+result,none,none,none,"mnih2015, schulman2017, tan1993",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0196,Q-Learning Full Run,The n=20 tabular Q-learning full run is substantially more stable than the short smoke run.,method+result,none,none,none,sutton2018,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0197,Q-Learning Full Run,"Match rate remains 1.0, while stability\_mean=0.9508, truthful\_report\_rate\_mean=0.7859, and total\_welfare\_mean=3.6393.",theory+result,none,none,none,vickrey1961,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0198,Q-Learning Full Run,"The report-top action space creates truthfulness variation, but worker-proposing deferred acceptance still produces mostly stable matchings under the current random-preference setup.",theory,none,none,none,"vickrey1961, galeshapley1962, rothsotomayor1990",none,needs_citation,"Consider adding \citep{vickrey1961}, \citep{galeshapley1962}, \citep{rothsotomayor1990}."
C0199,Q-Learning Full Run,Fixed benchmark cases clarify the interpretation.,theory,none,none,none,none,none,manual_verify,Manually verify this claim against foundation cards or add a precise citation/artifact.
C0200,Q-Learning Full Run,"Under worker-proposing deferred acceptance, workers should not have profitable report deviations in the canonical strategy-proof setting galeshapley1962,rothsotomayor1990,roth1984.",theory+result,citation,"galeshapley1962, rothsotomayor1990, roth1984",none,none,none,supported_citation,No action.
C0201,Q-Learning Full Run,"Future manipulation tests therefore need to target the non-proposing side, change the mechanism, or add information and commitment frictions rather than treating worker misreports under standard deferred acceptance as the main expected failure mode.",theory,none,none,none,"galeshapley1962, rothsotomayor1990",none,needs_citation,"Consider adding \citep{galeshapley1962}, \citep{rothsotomayor1990}."
C0202,Cross-Mind Status,"The full Labor Market learner-suite run keeps match rate at \(1.0\) for every mind, so the relevant margins are stability and truthful-report behavior.",theory+result,artifact,none,none,vickrey1961,"outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0203,Cross-Mind Status,DQN slightly improves stability relative to Q-learning (\(0.975\) versus \(0.951\)) while reporting truthfully less often.,theory+method+result,none,none,none,"sutton2018, mnih2015, vickrey1961",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0204,Cross-Mind Status,PPO and fixed independent-DQN preserve high stability but also lower truthfulness.,theory+method,none,none,none,"mnih2015, schulman2017, tan1993, vickrey1961, myerson1981, milgrom2004",none,needs_citation,"Consider adding \citep{mnih2015}, \citep{schulman2017}, \citep{tan1993}, \citep{vickrey1961}."
C0205,Cross-Mind Status,"The centralized-critic scaffold has the weakest matching behavior in this asymmetric setup, with stability \(0.749\) and truthful-report rate \(0.433\).",theory+method+result,none,none,none,vickrey1961,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0206,Cross-Mind Status,"Economically, this is consistent with the benchmark warning: worker-proposing deferred acceptance is strategy-proof for workers in the canonical setting, so lower truthful-report rates are not automatically evidence of profitable manipulation galeshapley1962,rothsotomayor1990,roth1984.",theory+result,citation,"galeshapley1962, rothsotomayor1990, roth1984",none,vickrey1961,none,supported_citation,No action.
C0207,Cross-Mind Status,"The result is better framed as a learned-reporting diagnostic: the mechanism keeps matches mostly stable for most learners, while the centralized-critic architecture is brittle in this asymmetric environment.",method,none,none,none,none,none,manual_verify,Manually verify this claim against foundation cards or add a precise citation/artifact.
C0210,Cross-World Synthesis,"Tabular value learning, function approximation, on-policy policy gradients, decorrelated independent learners, and centralized critics violate different assumptions of the classical benchmark story.",theory+method,none,none,none,"sutton2018, schulman2017, tan1993, lowe2017",none,needs_citation,"Consider adding \citep{sutton2018}, \citep{schulman2017}, \citep{tan1993}, \citep{lowe2017}."
C0212,Cross-World Synthesis,"The Pricing Arena result shows architecture-sensitive institutional effects: price caps reduce exploitability broadly, but DQN's profit response flips sign with training budget and is positive in the full paired audit.",method+result,artifact,none,none,mnih2015,outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0214,Cross-World Synthesis,"Auction House adds theory-anchored bidding benchmarks vickrey1961,myerson1981.",theory+result,citation+artifact,"vickrey1961, myerson1981",none,milgrom2004,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0215,Cross-World Synthesis,Public Goods adds a sustainability and commons-collapse channel.,theory+result,artifact,none,none,"samuelson1954, olson1965, hardin1968, ostrom1990","outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0216,Cross-World Synthesis,Labor Market adds a matching-stability and truthfulness channel.,theory,none,none,none,vickrey1961,"outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",needs_citation,Consider adding \citep{vickrey1961}.
C0217,Cross-World Synthesis,"The five-world synthesis is now built from full n=20 learner-suite outputs for Pricing Arena, Resource Island v1, Auction House, Public Goods, and Labor Market.",theory+result,artifact,none,none,"samuelson1954, olson1965","outputs/phase3_full/mind_comparison.csv, outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv, outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0219,Cross-World Synthesis,"The claim-audit suite adds a second pass over those outputs: paired seed effects, benchmark gaps, metric-conflict warnings, activation confirmations, and trace/full-run sign agreement where paired traces exist.",theory+result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0220,Cross-World Synthesis,"In its current run, the audit produces 1,025 paired or benchmark rows and 31 metric-conflict or activation rows.",theory+result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0221,Cross-World Synthesis,This audit layer prevents the cross-world synthesis from becoming a table of averages without claim boundaries.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0224,Cross-World Synthesis,"In Pricing Arena, DQN's price-cap profit increase is a long-training, seed-heterogeneous effect rather than a short-run channel.",method+result,artifact,none,none,mnih2015,outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0225,Cross-World Synthesis,"In Resource Island v1, PPO and centralized-critic activate trade strongly while DQN-family learners remain more conservative mnih2015,schulman2017.",method+result,citation+artifact,"mnih2015, schulman2017",none,none,"outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0226,Cross-World Synthesis,"In Auction House, the relevant question is distance from truthful, shaded, or reserve-price benchmarks rather than raw reward vickrey1961,myerson1981,milgrom2004.",theory+result,citation+artifact,"vickrey1961, myerson1981, milgrom2004",none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0227,Cross-World Synthesis,"In Public Goods, the relevant state variables are contribution, extraction, and sustainability, while some tax effects are accounting effects rather than state changes.",theory+result,artifact,none,none,"samuelson1954, olson1965, zheng2020, zheng2021","outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0228,Cross-World Synthesis,"In Labor Market, deferred acceptance produces high match rates and mostly stable outcomes, so future manipulation claims must target the right side of the market or a different matching institution.",theory+result,artifact,none,none,"galeshapley1962, rothsotomayor1990","outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0230,Limitations,They are designed for auditability rather than realism.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0233,Limitations,Auction House currently has benchmarked sealed-bid full runs and smoke-tested clock and information variants.,theory+result,artifact,none,none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0234,Limitations,Public Goods is still a stylized common-pool model rather than an empirical commons.,theory,none,none,none,"samuelson1954, olson1965, hardin1968, ostrom1990","outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",needs_citation,"Consider adding \citep{samuelson1954}, \citep{olson1965}, \citep{hardin1968}, \citep{ostrom1990}."
C0235,Limitations,"Labor Market currently uses worker-side learning under deferred acceptance, so it tests one asymmetric matching channel rather than matching-market design generally.",theory,none,none,none,"galeshapley1962, rothsotomayor1990","outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",needs_citation,"Consider adding \citep{galeshapley1962}, \citep{rothsotomayor1990}."
C0236,Limitations,The most important limitation is interpretive.,limitation,none,none,none,none,none,manual_verify,Manually verify this claim against foundation cards or add a precise citation/artifact.
C0240,Limitations,"The independent-DQN alias issue is a concrete example: the table was statistically valid as an output file, but not valid as evidence for a distinct mind until the implementation was corrected and rerun.",method+result,none,none,none,"mnih2015, tan1993",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0241,Limitations,The Pricing Arena price-cap audit adds a second interpretive warning.,result,artifact,none,none,none,outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0242,Limitations,A mechanism trace can reveal the local channel but cannot replace a replicated training-budget audit.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0243,Limitations,"The 1000-step trace correctly showed early profit losses under the cap; the 40,000-step table correctly showed a positive DQN cap-minus-none profit delta.",method+result,none,none,none,mnih2015,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0245,Reproducibility,The repository records validation status in ROADMAP\_STATUS.md.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0246,Reproducibility,"Major runners include: run\_multiseed.py for Pricing Arena replicated runs; run\_exploitability.py for frozen-policy adversarial evaluation; run\_phase3\_full.py and validate\_phase3\_full.py for full Phase 3 Pricing Arena checks; run\_known\_answer\_sanity\_checks.py for theorem/bracketing checks before learned-policy interpretation; run\_mechanism\_traces.py for per-step mechanism traces and decomposition tables across worlds; run\_pricing\_quantity\_margin\_audit.py for the Pricing Arena price-cap budget-ladder contradiction audit; run\_claim\_audit\_suite.py for cross-world paired-effect, benchmark-gap, metric-conflict, activation, and trace-alignment audits; run\_resource\_island\_smoke.py for Resource Island smoke, validation, and full runs; run\_auction\_house\_smoke.py for Auction House runs; run\_public\_goods\_smoke.py for Public Goods runs; run\_labor\_market\_smoke.py for Labor Market runs; build\_world\_mind\_comparison.py and build\_cross\_world\_synthesis.py for ladder comparisons and cross-world synthesis.",theory+result,artifact,none,none,"samuelson1954, olson1965","outputs/phase3_full/mind_comparison.csv, outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv, outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0247,Reproducibility,"The test suite currently includes unit, integration, and output-validation coverage for the core abstractions, Pricing Arena, Resource Island, Auction House, Public Goods, Labor Market, and deep-RL/MARL minds.",theory+method+result,artifact,none,none,"samuelson1954, olson1965","outputs/phase3_full/mind_comparison.csv, outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv, outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0248,Primary Output Artifacts,The main numerical claims in the paper are backed by the following generated artifacts: outputs/known_answer_sanity_checks_current/summary.csv; outputs/mechanism_traces_local_full/mechanism_decomposition.csv; outputs/phase3_full/mind_comparison.csv; outputs/pricing_quantity_margin_audit/dqn_budget_ladder.csv; outputs/pricing_quantity_margin_audit/existing_full_seed_deltas.csv; outputs/resource_island_v1_full/summary_aggregate.csv; outputs/resource_island_v1_strict_radius_full/summary_aggregate.csv; outputs/resource_island_v1_phase3_full/mind_comparison.csv; outputs/auction_house_phase3_full/mind_comparison.csv; outputs/public_goods_phase3_full/mind_comparison.csv; outputs/labor_market_phase3_full/mind_comparison.csv; outputs/cross_world_synthesis/synthesis_table.csv; outputs/claim_audit_suite/claim_audit_report.md.,theory+method+result,artifact,none,none,mnih2015,"outputs/mechanism_traces_local_full/mechanism_decomposition.csv, outputs/phase3_full/mind_comparison.csv, outputs/pricing_quantity_margin_audit/dqn_budget_ladder.csv, outputs/pricing_quantity_margin_audit/existing_full_seed_deltas.csv, outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_strict_radius_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_phase3_full/mind_comparison.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/cross_world_synthesis/synthesis_table.csv, outputs/claim_audit_suite/claim_audit_report.md",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0250,Conclusion,"The mature Pricing Arena result already shows why the question matters: exploitability and collusion can move differently under the same institution, and a headline effect can depend on training budget rather than appearing in short traces.",theory+result,artifact,none,none,"calvano2020, calvano2021",outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0251,Conclusion,"Resource Island, Auction House, Public Goods, and Labor Market extend the project beyond pricing games.",theory,none,none,none,"samuelson1954, olson1965","outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv, outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",needs_citation,"Consider adding \citep{samuelson1954}, \citep{olson1965}."
